iter	RMSE	MAE
0	3631.597438	2594.869312
1	3606.16632	2575.874906
2	3580.061837	2556.697038
3	3555.360593	2538.077004
4	3530.645542	2519.587184
5	3506.592812	2502.417936
6	3482.349658	2484.04441
7	3458.048484	2465.044529
8	3433.492963	2446.426681
9	3409.026731	2427.796992
10	3385.194796	2410.298091
11	3361.632639	2392.685298
12	3338.715952	2376.918266
13	3315.500479	2358.925932
14	3293.130246	2343.677971
15	3270.672266	2327.365362
16	3247.55125	2309.836532
17	3227.102839	2295.381534
18	3205.477181	2279.550704
19	3182.056309	2263.206428
20	3160.918163	2249.182764
21	3139.160453	2232.321782
22	3116.734607	2216.172826
23	3095.377588	2200.679602
24	3073.414579	2184.357675
25	3054.266744	2170.036017
26	3034.900292	2154.450347
27	3014.229104	2140.692366
28	2992.520578	2124.273551
29	2973.759775	2110.588611
30	2952.315461	2094.636468
31	2932.449528	2080.34644
32	2912.496864	2066.064969
33	2892.33249	2051.49758
34	2872.761357	2038.152457
35	2852.688383	2022.741763
36	2832.73321	2008.476882
37	2812.897056	1993.629561
38	2793.602532	1979.006397
39	2775.328242	1966.460619
40	2755.7126	1952.247834
41	2738.367965	1940.428391
42	2719.524761	1926.15003
43	2702.149222	1915.006926
44	2684.247382	1901.412569
45	2667.520419	1889.928321
46	2650.001012	1877.002934
47	2631.354136	1863.059529
48	2613.416105	1849.031979
49	2595.046513	1835.947897
50	2577.454188	1823.462253
51	2559.29374	1810.290061
52	2541.801175	1797.828392
53	2523.631342	1784.599
54	2507.11075	1772.122545
55	2489.75652	1759.041905
56	2473.344014	1746.164503
57	2456.494671	1733.635987
58	2441.392071	1723.039716
59	2424.88377	1710.233445
60	2407.652564	1697.178454
61	2392.869411	1686.158815
62	2376.142509	1673.50956
63	2362.118695	1664.61837
64	2345.611589	1652.83474
65	2329.403169	1640.24839
66	2313.168154	1628.585424
67	2297.909681	1616.797217
68	2282.21088	1605.952853
69	2266.814908	1595.057587
70	2251.409351	1582.927632
71	2236.223947	1571.677156
72	2220.997656	1560.108996
73	2206.360951	1549.252288
74	2191.757169	1539.29497
75	2176.766381	1528.331062
76	2162.812498	1518.723405
77	2147.599584	1507.642578
78	2132.838659	1497.774143
79	2119.274211	1488.175968
80	2105.748266	1479.543273
81	2090.890515	1469.429836
82	2077.258982	1460.3245
83	2062.811142	1449.214569
84	2049.382925	1438.885963
85	2035.23673	1428.356367
86	2021.722281	1417.993196
87	2008.53171	1407.773162
88	1994.665562	1397.111712
89	1981.239991	1388.432373
90	1967.434258	1378.218796
91	1954.509224	1368.072687
92	1941.116698	1358.101651
93	1928.513563	1348.051755
