iter	Passed	Remaining
0	146	2930913
1	148	1480376
2	149	997059
3	150	753843
4	152	607866
5	153	510774
6	154	441342
7	155	389673
8	157	349259
9	158	316719
10	159	290375
11	160	268115
12	162	249265
13	163	233081
14	164	219073
15	165	206823
16	166	196078
17	168	186501
18	169	177867
19	170	170116
20	171	163099
21	172	156705
22	173	151097
23	175	145772
24	176	140851
25	177	136352
26	178	132170
27	179	128258
28	180	124644
29	182	121285
30	183	118091
31	184	115095
32	185	112287
33	186	109648
34	187	107187
35	189	104932
36	190	102785
37	191	100690
38	192	98689
39	194	96819
40	195	95044
41	196	93312
42	197	91661
43	198	90097
44	199	88602
45	201	87223
46	202	85883
47	203	84573
48	204	83351
49	205	82152
50	207	80982
51	208	79877
52	209	78810
53	210	77778
54	211	76780
55	212	75822
56	214	74888
57	215	73992
58	216	73132
59	217	72296
60	218	71482
61	219	70687
62	220	69926
63	222	69182
64	223	68465
65	224	67783
66	225	67111
67	226	66474
68	227	65835
69	229	65229
70	230	64635
71	231	64056
72	232	63494
73	233	62944
74	234	62409
75	236	61893
76	237	61408
77	238	60934
78	239	60451
79	240	59982
80	242	59524
81	243	59074
82	244	58634
83	245	58208
84	246	57793
85	247	57390
86	248	56989
87	250	56595
88	251	56216
89	252	55837
90	253	55475
91	254	55122
92	255	54780
93	257	54438
94	258	54101
95	259	53782
96	260	53467
97	261	53154
98	263	52870
99	264	52565
100	265	52272
101	266	52038
102	267	51766
103	269	51507
104	270	51240
105	271	50977
106	272	50718
107	274	50468
108	275	50282
109	276	50068
110	278	49823
111	279	49597
112	280	49355
113	281	49126
114	282	48919
115	284	48726
116	285	48517
117	286	48299
118	287	48085
119	288	47870
120	290	47659
121	291	47453
122	292	47259
123	293	47057
124	294	46864
125	295	46673
126	297	46499
127	298	46336
128	299	46166
129	300	45986
130	302	45811
131	303	45632
132	304	45462
133	305	45290
134	306	45122
135	307	44958
136	309	44801
137	310	44641
138	311	44488
139	312	44357
140	314	44245
141	315	44183
142	317	44035
143	318	43892
144	319	43745
145	320	43600
146	321	43475
147	323	43339
148	324	43202
149	325	43065
150	326	42936
151	327	42803
152	329	42693
153	330	42596
154	331	42472
155	332	42344
156	334	42221
157	335	42100
158	336	41998
159	337	41897
160	339	41780
161	340	41662
162	341	41546
163	342	41435
164	343	41332
165	344	41220
166	346	41106
167	347	40999
168	348	40891
169	349	40785
170	350	40672
171	351	40572
172	353	40490
173	354	40398
174	355	40302
175	356	40203
176	358	40108
177	359	40007
178	360	39907
179	361	39837
180	362	39744
181	364	39646
182	365	39594
183	367	39549
184	368	39459
185	369	39371
186	370	39279
187	371	39186
188	373	39100
189	374	39015
190	375	38934
191	376	38862
192	377	38778
193	379	38695
194	380	38612
195	381	38528
196	382	38448
197	383	38370
198	384	38288
199	385	38212
200	387	38133
201	388	38098
202	389	38031
203	391	37959
204	392	37892
205	393	37818
206	394	37744
207	395	37679
208	397	37608
209	398	37540
210	399	37489
211	401	37439
212	402	37371
213	403	37300
214	404	37231
215	405	37161
216	406	37090
217	408	37043
218	409	36985
219	410	36927
220	411	36863
221	413	36800
222	414	36734
223	415	36670
224	416	36609
225	417	36549
226	418	36489
227	420	36425
228	421	36364
229	422	36305
230	423	36273
231	425	36216
232	426	36156
233	427	36098
234	428	36038
235	429	35980
236	430	35923
237	431	35864
238	433	35808
239	434	35754
240	435	35697
241	436	35642
242	437	35587
243	439	35557
244	440	35521
245	441	35447
246	442	35399
247	443	35351
248	445	35307
249	446	35261
250	447	35212
251	448	35168
252	450	35124
253	451	35080
254	452	35030
255	453	34980
256	454	34940
257	456	34893
258	457	34844
259	458	34794
260	459	34745
261	460	34697
262	461	34649
263	462	34604
264	464	34558
265	465	34512
266	466	34467
267	467	34424
268	468	34379
269	469	34334
270	471	34290
271	472	34246
272	473	34200
273	474	34157
274	475	34114
275	476	34070
276	477	34028
277	479	33985
278	480	33945
279	481	33900
280	482	33859
281	483	33819
282	484	33776
283	486	33740
284	487	33700
285	488	33659
286	489	33619
287	490	33578
288	491	33539
289	492	33498
290	494	33460
291	495	33423
292	496	33385
293	497	33346
294	498	33308
295	499	33271
296	500	33233
297	502	33195
298	503	33158
299	504	33122
300	505	33087
301	507	33084
302	508	33072
303	509	33041
304	511	33007
305	512	32972
306	513	32938
307	514	32908
308	516	32883
309	517	32859
310	518	32832
311	519	32803
312	521	32771
313	522	32738
314	523	32706
315	524	32672
316	525	32642
317	526	32610
318	528	32577
319	529	32546
320	530	32513
321	531	32480
322	532	32468
323	534	32452
324	535	32423
325	536	32392
326	537	32359
327	539	32330
328	540	32300
329	541	32271
330	542	32242
331	543	32211
332	544	32183
333	546	32155
334	547	32127
335	548	32109
336	549	32087
337	551	32058
338	552	32029
339	553	32001
340	554	31974
341	555	31945
342	556	31919
343	558	31892
344	559	31863
345	560	31836
346	561	31809
347	562	31781
348	564	31759
349	565	31732
350	566	31707
351	567	31682
352	568	31656
353	569	31632
354	571	31610
355	572	31585
356	573	31561
357	574	31535
358	575	31512
359	577	31488
360	578	31462
361	579	31440
362	580	31413
363	581	31390
364	583	31364
365	584	31339
366	585	31314
367	586	31290
368	587	31266
369	588	31242
370	590	31218
371	591	31193
372	592	31168
373	593	31147
374	594	31123
375	595	31100
376	597	31075
377	598	31052
378	599	31030
379	600	31009
380	601	30986
381	602	30962
382	604	30939
383	605	30916
384	606	30895
385	607	30871
386	608	30846
387	609	30824
388	611	30804
389	612	30781
390	613	30758
391	614	30738
392	615	30715
393	616	30691
394	617	30669
395	619	30648
396	620	30630
397	621	30614
398	622	30596
399	623	30574
400	625	30553
401	627	30567
402	628	30552
403	629	30553
404	631	30538
405	632	30518
406	633	30502
407	635	30497
408	636	30478
409	637	30458
410	638	30439
411	639	30419
412	640	30399
413	642	30388
414	643	30391
415	645	30374
416	646	30354
417	647	30334
418	648	30316
419	649	30297
420	651	30277
421	652	30257
422	653	30238
423	654	30218
424	655	30199
425	656	30181
426	658	30169
427	659	30151
428	660	30132
429	661	30113
430	662	30094
431	663	30075
432	665	30058
433	666	30038
434	667	30021
435	668	30002
436	669	29984
437	670	29966
438	672	29947
439	673	29930
440	674	29912
441	675	29893
442	676	29875
443	677	29858
444	679	29846
445	680	29830
446	681	29814
447	682	29799
448	683	29782
449	685	29764
450	686	29745
451	687	29727
452	688	29711
453	689	29693
454	690	29675
455	691	29657
456	693	29641
457	694	29624
458	695	29608
459	696	29592
460	697	29577
461	699	29562
462	700	29546
463	701	29532
464	702	29516
465	703	29501
466	704	29486
467	706	29470
468	707	29454
469	708	29436
470	709	29420
471	710	29404
472	711	29389
473	713	29374
474	714	29358
475	715	29343
476	716	29328
477	717	29312
478	718	29296
479	720	29281
480	721	29265
481	722	29251
482	723	29236
483	724	29220
484	725	29206
485	727	29191
486	728	29178
487	729	29164
488	730	29149
489	731	29136
490	732	29120
491	734	29103
492	735	29089
493	736	29075
494	737	29063
495	738	29050
496	739	29038
497	741	29022
498	742	29007
499	743	28993
500	744	28977
501	746	28975
502	747	28971
503	748	28959
504	749	28947
505	751	28937
506	752	28927
507	753	28922
508	754	28910
509	756	28901
510	757	28886
511	758	28874
512	759	28862
513	760	28848
514	762	28834
515	763	28822
516	764	28809
517	765	28795
518	766	28786
519	768	28780
520	769	28766
521	770	28755
522	771	28742
523	772	28727
524	774	28715
525	775	28703
526	776	28692
527	777	28679
528	778	28666
529	779	28652
530	781	28638
531	782	28626
532	783	28625
533	784	28611
534	786	28599
535	787	28587
536	788	28573
537	789	28560
538	790	28547
539	791	28534
540	792	28521
541	794	28513
542	795	28499
543	796	28488
544	797	28476
545	799	28469
546	800	28456
547	801	28443
548	802	28430
549	803	28417
550	804	28403
551	805	28390
552	806	28378
553	808	28366
554	809	28354
555	810	28342
556	811	28329
557	812	28317
558	813	28307
559	815	28294
560	816	28283
561	817	28271
562	818	28259
563	819	28248
564	820	28236
565	821	28223
566	823	28212
567	824	28199
568	825	28187
569	826	28176
570	827	28168
571	829	28160
572	830	28151
573	831	28139
574	832	28128
575	833	28115
576	834	28104
577	836	28093
578	837	28081
579	838	28069
580	839	28058
581	840	28047
582	841	28036
583	842	28025
584	844	28014
585	845	28007
586	846	28001
587	847	27990
588	848	27979
589	850	27968
590	851	27956
591	852	27945
592	853	27936
593	854	27924
594	855	27915
595	857	27903
596	858	27893
597	859	27882
598	860	27872
599	861	27863
600	862	27852
601	864	27858
602	866	27860
603	867	27861
604	868	27855
605	870	27848
606	871	27842
607	872	27843
608	874	27835
609	875	27824
610	876	27817
611	877	27810
612	879	27808
613	880	27797
614	881	27788
615	882	27779
616	883	27770
617	885	27761
618	886	27752
619	887	27742
620	888	27735
621	889	27726
622	891	27716
623	892	27719
624	894	27718
625	895	27710
626	896	27700
627	897	27691
628	898	27682
629	900	27671
630	901	27660
631	902	27650
632	903	27640
633	904	27631
634	905	27621
635	906	27611
636	908	27604
637	909	27595
638	910	27586
639	911	27576
640	912	27567
641	913	27558
642	915	27549
643	916	27541
644	917	27531
645	918	27521
646	919	27511
647	920	27501
648	922	27491
649	923	27483
650	924	27476
651	925	27465
652	926	27456
653	927	27447
654	929	27438
655	930	27429
656	931	27418
657	932	27409
658	933	27399
659	934	27390
660	935	27381
661	937	27372
662	938	27364
663	939	27354
664	940	27357
665	942	27348
666	943	27338
667	944	27329
668	945	27320
669	946	27311
670	947	27302
671	948	27293
672	950	27284
673	951	27275
674	952	27268
675	954	27291
676	955	27282
677	957	27273
678	958	27264
679	959	27257
680	960	27248
681	961	27238
682	962	27231
683	963	27221
684	965	27213
685	966	27204
686	967	27196
687	968	27187
688	969	27178
689	970	27168
690	971	27158
691	973	27150
692	974	27144
693	975	27136
694	976	27128
695	977	27120
696	978	27112
697	980	27103
698	981	27097
699	982	27089
700	983	27081
701	985	27078
702	986	27071
703	987	27065
704	988	27058
705	989	27052
706	991	27045
707	992	27037
708	993	27033
709	994	27029
710	996	27024
711	997	27015
712	998	27007
713	999	26998
714	1000	26991
715	1002	26990
716	1003	26988
717	1004	26981
718	1005	26972
719	1006	26964
720	1008	26955
721	1009	26946
722	1010	26938
723	1011	26929
724	1012	26920
725	1013	26912
726	1014	26903
727	1015	26895
728	1017	26893
729	1018	26887
730	1019	26880
731	1020	26872
732	1022	26865
733	1023	26857
734	1024	26849
735	1025	26842
736	1026	26834
737	1027	26827
738	1028	26818
739	1030	26812
740	1031	26807
741	1032	26801
742	1033	26793
743	1034	26786
744	1036	26778
745	1037	26771
746	1038	26764
747	1039	26757
748	1040	26750
749	1041	26742
750	1043	26734
751	1044	26728
752	1045	26722
753	1046	26714
754	1047	26707
755	1048	26700
756	1050	26692
757	1051	26685
758	1052	26677
759	1053	26670
760	1054	26663
761	1055	26657
762	1057	26649
763	1058	26642
764	1059	26636
765	1060	26629
766	1061	26623
767	1062	26615
768	1064	26609
769	1065	26603
770	1066	26595
771	1067	26587
772	1068	26580
773	1069	26573
774	1070	26566
775	1072	26558
776	1073	26550
777	1074	26543
778	1075	26535
779	1076	26529
780	1077	26522
781	1079	26517
782	1080	26510
783	1081	26503
784	1082	26496
785	1083	26490
786	1084	26484
787	1085	26476
788	1087	26468
789	1088	26461
790	1089	26454
791	1090	26446
792	1091	26439
793	1092	26432
794	1093	26426
795	1095	26420
796	1096	26412
797	1097	26404
798	1098	26397
799	1099	26389
800	1100	26382
801	1102	26383
802	1103	26377
803	1104	26371
804	1105	26366
805	1106	26359
806	1108	26353
807	1109	26347
808	1110	26347
809	1112	26350
810	1113	26346
811	1114	26341
812	1115	26333
813	1116	26327
814	1118	26320
815	1119	26313
816	1120	26306
817	1121	26299
818	1122	26293
819	1123	26286
820	1125	26280
821	1126	26290
822	1128	26288
823	1129	26282
824	1130	26276
825	1131	26269
826	1132	26264
827	1134	26257
828	1135	26250
829	1136	26245
830	1137	26239
831	1138	26233
832	1139	26227
833	1141	26221
834	1142	26230
835	1144	26225
836	1145	26218
837	1146	26211
838	1147	26205
839	1148	26199
840	1149	26193
841	1150	26186
842	1152	26180
843	1153	26174
844	1154	26168
845	1155	26161
846	1156	26154
847	1157	26151
848	1159	26145
849	1160	26139
850	1161	26135
851	1162	26130
852	1163	26123
853	1164	26117
854	1166	26111
855	1167	26106
856	1168	26099
857	1169	26093
858	1170	26087
859	1171	26081
860	1173	26076
861	1174	26071
862	1175	26067
863	1176	26062
864	1177	26055
865	1178	26049
866	1180	26043
867	1181	26038
868	1182	26033
869	1183	26027
870	1184	26021
871	1185	26015
872	1187	26009
873	1188	26004
874	1189	25999
875	1190	25993
876	1191	25987
877	1192	25981
878	1194	25975
879	1195	25969
880	1196	25963
881	1197	25958
882	1198	25952
883	1199	25945
884	1200	25940
885	1202	25934
886	1203	25928
887	1204	25923
888	1205	25917
889	1206	25912
890	1207	25906
891	1209	25900
892	1210	25894
893	1211	25888
894	1212	25884
895	1213	25879
896	1214	25873
897	1216	25867
898	1217	25860
899	1218	25855
900	1219	25850
901	1221	25853
902	1222	25848
903	1223	25843
904	1224	25842
905	1226	25838
906	1227	25833
907	1228	25829
908	1229	25826
909	1231	25825
910	1232	25820
911	1233	25814
912	1234	25809
913	1235	25806
914	1237	25803
915	1238	25799
916	1239	25793
917	1240	25788
918	1241	25781
919	1242	25776
920	1244	25770
921	1245	25765
922	1246	25760
923	1247	25755
924	1248	25749
925	1250	25751
926	1251	25758
927	1253	25753
928	1254	25748
929	1255	25743
930	1256	25739
931	1257	25733
932	1258	25727
933	1260	25728
934	1261	25727
935	1262	25722
936	1264	25716
